"File","Line","Type","Text"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","6","broken_question_in_word","<title>Qu?n tr? h? th?ng kh�ch s?n | CCT Hotels Company</title>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","6","replacement_char","<title>Qu?n tr? h? th?ng kh�ch s?n | CCT Hotels Company</title>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","17","broken_question_in_word","<h2 class=""mb-1"">Qu?n tr? h? th?ng kh�ch s?n</h2>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","17","replacement_char","<h2 class=""mb-1"">Qu?n tr? h? th?ng kh�ch s?n</h2>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","19","broken_question_in_word","Qu?n l� chi nh�nh, ph�ng v� voucher theo t?ng khu v?c nhanh v� r�"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","19","replacement_char","Qu?n l� chi nh�nh, ph�ng v� voucher theo t?ng khu v?c nhanh v� r�"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","20","replacement_char","r�ng."
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","25","broken_question_in_word","M?o: B?m ""? a"" tr�n b?ng d? d? d? li?u v�o form. N?u t?o m?i, b?m ""T?o"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","25","replacement_char","M?o: B?m ""? a"" tr�n b?ng d? d? d? li?u v�o form. N?u t?o m?i, b?m ""T?o"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","26","broken_question_in_word","m?i"" d? xo� nhanh form hi?n t?i."
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","26","replacement_char","m?i"" d? xo� nhanh form hi?n t?i."
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","33","broken_question_in_word","1. Th�m ho?c c?p nh?t chi nh�nh"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","33","replacement_char","1. Th�m ho?c c?p nh?t chi nh�nh"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","46","broken_question_in_word","placeholder=""ID (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","46","replacement_char","placeholder=""ID (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","52","replacement_char","placeholder=""T�n chi nh�nh"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","59","broken_question_in_word","placeholder=""T?nh/Th�nh"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","59","replacement_char","placeholder=""T?nh/Th�nh"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","66","replacement_char","placeholder=""�?a ch?"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","93","broken_question_in_word","placeholder=""S? t?ng"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","102","broken_question_in_word","placeholder=""Ph�ng/t?ng"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","102","replacement_char","placeholder=""Ph�ng/t?ng"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","107","common_vn_no_diacritics","Luu chi nh�nh"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","107","replacement_char","Luu chi nh�nh"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","114","broken_question_in_word","T?o m?i"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","124","replacement_char","<div class=""card-header fw-bold"">Danh s�ch chi nh�nh</div>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","130","replacement_char","<th>T�n</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","131","broken_question_in_word","<th>T?nh</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","132","broken_question_in_word","<th>T?a d?</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","133","replacement_char","<th>Thao t�c</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","155","broken_question_in_word","S?a"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","160","replacement_char","onsubmit=""return confirm('X�a chi nh�nh n�y?');"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","179","broken_question_in_word","<div class=""card-header fw-bold"">2. Th�m ho?c c?p nh?t ph�ng</div>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","179","replacement_char","<div class=""card-header fw-bold"">2. Th�m ho?c c?p nh?t ph�ng</div>"
